ID;Species;WMUpdating;WMBoxes;WMGrid;SD;Reversal;CD_all;EDS;Tray;Shelf;GlassCeiling;Cylinder;InhibGrid
Nani;Chimpanzees;0.583333333;0.4375;0.697894815;0.520833333;0.041666667;0.6;0.625;0.458333333;0.363636364;0;0.5;0.833333333
Niyonkuru;Chimpanzees;0.625;0.4375;0.674934217;0.650793651;0.166666667;0.636363636;0.45;0.5;0.636363636;0.333333333;0.416666667;0.333333333
Nkuumwa;Chimpanzees;0.583333333;0.5;0.805526405;0.444444444;0.083333333;0.857142857;0.5;0.5;0.909090909;0.333333333;0.583333333;0.833333333
Okech;Chimpanzees;0.708333333;0.5;0.640757548;0.714285714;0.041666667;0.526315789;0.475;0.375;0.727272727;0;0.5;0.666666667
Oscar;Chimpanzees;0.291666667;0.3125;0.586449657;0.5625;0.375;0.681818182;0.425;0.5;0.181818182;0.25;0.583333333;0
Pasa;Chimpanzees;0.375;0.375;0.734698232;0.818181818;0.47826087;0.857142857;0.45;0.625;0.909090909;0;0.375;0.333333333
Rambo;Chimpanzees;0.166666667;0.5625;0.55413038;0.592592593;0;0.8;0.475;0.791666667;0.272727273;0;0.333333333;0.5
Roy;Chimpanzees;0.416666667;0.625;0.621914342;0.727272727;0.166666667;0.615384615;0.5;0.75;0.727272727;0.083333333;0.416666667;0.5
Safari;Chimpanzees;0.666666667;0.4375;0.698261563;0.5;0.041666667;0.692307692;0.6;NA;NA;0.083333333;0.416666667;0.5
Sally;Chimpanzees;0.375;0.4375;0.632826589;0.642857143;0.375;0.727272727;0.4;0.541666667;0.181818182;0.416666667;0.666666667;0.5
Sara;Chimpanzees;0.708333333;0.3125;0.632674677;0.578947368;0.157894737;0.6;0.5;0.375;0.909090909;0.25;0.416666667;0.5
Tess;Chimpanzees;0.625;0.25;0.489729234;0.541666667;NA;0.583333333;0.525;0.5;0.545454545;0.083333333;0.666666667;0.5
Tumbo;Chimpanzees;0.541666667;0.3125;0.502082489;0.561403509;0.333333333;0.523809524;0.475;0.583333333;0.363636364;0.333333333;0.666666667;0.333333333
Umugenzi;Chimpanzees;0.666666667;0.5;0.744119835;0.666666667;0.041666667;1;0.525;0.625;0.727272727;0;0.416666667;0.5
Umutama;Chimpanzees;0.5;0.375;0.559698094;0.875;0.421052632;0.8;0.5;0.541666667;0.909090909;0;0.583333333;0.5
Uruhara;Chimpanzees;0.5;0.5;0.613894394;0.625;0.125;0.722222222;0.6;0.833333333;0.818181818;0.25;0.583333333;0.166666667
William;Chimpanzees;0.541666667;0.375;0.601479296;0.857142857;0.8;0.75;0.5;0.625;0.545454545;0;0.166666667;0.166666667
Yoyo;Chimpanzees;0.75;0.3125;0.532051698;0.55;0.208333333;0.675675676;0.525;0.458333333;0.636363636;0;0.5;0.666666667
Zee;Chimpanzees;0.291666667;0.375;0.665360702;0.652173913;0.041666667;0.565217391;0.5;0.458333333;0.363636364;0.25;0.333333333;0.333333333
