ID;Gender;Age_months;Age_group;Midtesting_age_months;Midtesting_age_group;Mediansplit_midtesting_entiresample;AdditionalSupportNeeds;TestingLocation;Trial;StoppedEarly;TotalNr_Rounds;RoundNr;Position;BoxID;Correct;emptied_all_boxes;NrBoxesEmptied;Efficiency;NoSearches_before_FirstError;NoSearches_before_FirstError_numeric;Video;NrBoxesEmptiedDisregardingFirstSearch;NrRoundsDisregardingFirstSearch;EfficiencyDisregardingFirstSearch
7;m;46;3;46;3;young;no information;Fife;2;no;11;5;8;lightblue;yes;yes;8;0.727;3;3;ID7_WM_ScrambledBox_m_3y;7;10;0.7
7;m;46;3;46;3;young;no information;Fife;2;no;11;6;6;blue;yes;yes;8;0.727;3;3;ID7_WM_ScrambledBox_m_3y;7;10;0.7
7;m;46;3;46;3;young;no information;Fife;2;no;11;7;5;purple;yes;yes;8;0.727;3;3;ID7_WM_ScrambledBox_m_3y;7;10;0.7
7;m;46;3;46;3;young;no information;Fife;2;no;11;8;4;red;no;yes;8;0.727;3;3;ID7_WM_ScrambledBox_m_3y;7;10;0.7
7;m;46;3;46;3;young;no information;Fife;2;no;11;9;1;green;yes;yes;8;0.727;3;3;ID7_WM_ScrambledBox_m_3y;7;10;0.7
7;m;46;3;46;3;young;no information;Fife;2;no;11;10;4;lightblue;no;yes;8;0.727;3;3;ID7_WM_ScrambledBox_m_3y;7;10;0.7
7;m;46;3;46;3;young;no information;Fife;2;no;11;11;2;orange;yes;yes;8;0.727;3;3;ID7_WM_ScrambledBox_m_3y;7;10;0.7
8;m;58;4;58;4;old;no;Fife;1;no;11;1;3;purple;yes;no;7;0.636;2;2;ID8_WM_ScrambledBox_m_4y;6;10;0.6
8;m;58;4;58;4;old;no;Fife;1;no;11;2;4;white;yes;no;7;0.636;2;2;ID8_WM_ScrambledBox_m_4y;6;10;0.6
8;m;58;4;58;4;old;no;Fife;1;no;11;3;8;purple;no;no;7;0.636;2;2;ID8_WM_ScrambledBox_m_4y;6;10;0.6
8;m;58;4;58;4;old;no;Fife;1;no;11;4;3;lightblue;yes;no;7;0.636;2;2;ID8_WM_ScrambledBox_m_4y;6;10;0.6
8;m;58;4;58;4;old;no;Fife;1;no;11;5;8;orange;yes;no;7;0.636;2;2;ID8_WM_ScrambledBox_m_4y;6;10;0.6
8;m;58;4;58;4;old;no;Fife;1;no;11;6;6;red;yes;no;7;0.636;2;2;ID8_WM_ScrambledBox_m_4y;6;10;0.6
8;m;58;4;58;4;old;no;Fife;1;no;11;7;2;green;yes;no;7;0.636;2;2;ID8_WM_ScrambledBox_m_4y;6;10;0.6
8;m;58;4;58;4;old;no;Fife;1;no;11;8;3;lightblue;no;no;7;0.636;2;2;ID8_WM_ScrambledBox_m_4y;6;10;0.6
8;m;58;4;58;4;old;no;Fife;1;no;11;9;6;purple;no;no;7;0.636;2;2;ID8_WM_ScrambledBox_m_4y;6;10;0.6
8;m;58;4;58;4;old;no;Fife;1;no;11;10;2;orange;no;no;7;0.636;2;2;ID8_WM_ScrambledBox_m_4y;6;10;0.6
